Austria_employer,Austria_net,Belgium_employer,Belgium_net,Bulgaria_employer,Bulgaria_net,Croatia_employer,Croatia_net,Cyprus_employer,Cyprus_net,Czech Republic_employer,Czech Republic_net,Denmark_employer,Denmark_net,Estonia_employer,Estonia_net,Finland_employer,Finland_net,France_employer,France_net,Germany_employer,Germany_net,Greece_employer,Greece_net,Gross,Hungary_employer,Hungary_net,Ireland_employer,Ireland_net,Italy_employer,Italy_net,Latvia_employer,Latvia_net,Lithuania_employer,Lithuania_net,Luxembourg_employer,Luxembourg_net,Malta_employer,Malta_net,Netherlands_employer,Netherlands_net,Poland_employer,Poland_net,Portugal_employer,Portugal_net,Romania_employer,Romania_net,Slovakia_employer,Slovakia_net,Slovenia_employer,Slovenia_net,Spain_employer,Spain_net,Sweden_employer,Sweden_net
37299.0,24416.0,35337.0,20348.0,34794.0,23508.0,34950.0,20296.0,33360.0,26565.0,40224.0,23460.0,30000.0,19458.0,40140.0,23026.0,36150.0,24402.0,39567.0,24085.0,36378.0,23051.0,36315.0,20716.0,30000.0,33900.0,19950.0,32640.0,27076.0,39066.0,21143.0,37077.0,20883.0,30435.0,19518.0,33540.0,25548.0,33000.0,24590.0,34917.0,25254.0,35298.0,20434.0,37125.0,21470.0,30675.0,17622.0,39060.0,24936.0,34830.0,19302.0,39594.0,22559.0,35940.0,10572.0
49732.0,30163.0,47116.0,24640.0,44794.0,32508.0,46600.0,26796.0,44480.0,35420.0,53632.0,30800.0,40000.0,25048.0,53520.0,30701.0,48200.0,31057.0,52756.0,30766.0,48504.0,28616.0,48420.0,25729.0,40000.0,45200.0,26600.0,43520.0,34356.0,52088.0,26924.0,49436.0,27283.0,40580.0,25568.0,44720.0,32222.0,43500.0,31590.0,46556.0,31653.0,47064.0,26022.0,49500.0,26977.0,40900.0,23472.0,52080.0,31596.0,46440.0,25067.0,52792.0,28912.0,47920.0,13397.0
62165.0,35356.0,58895.0,28518.0,54794.0,41508.0,58250.0,33296.0,55600.0,43075.0,67040.0,38140.0,50000.0,30638.0,66900.0,38376.0,60250.0,37656.0,65945.0,36749.0,60630.0,34181.0,60525.0,30442.0,50000.0,56500.0,33250.0,54400.0,40436.0,65110.0,32705.0,61795.0,33683.0,50725.0,31618.0,55900.0,38677.0,53500.0,39090.0,58195.0,37905.0,58830.0,30551.0,61875.0,32065.0,51125.0,29322.0,65100.0,38256.0,58050.0,30337.0,65990.0,34617.0,59900.0,16222.0
74598.0,39549.0,70674.0,32254.0,64794.0,50508.0,69900.0,38938.0,66720.0,49630.0,80448.0,45480.0,60000.0,36228.0,80280.0,46051.0,72300.0,43871.0,79134.0,42732.0,72756.0,39746.0,72630.0,35155.0,60000.0,67800.0,39900.0,65280.0,45716.0,78132.0,37486.0,74154.0,40083.0,60870.0,37668.0,67080.0,44367.0,63500.0,46590.0,69834.0,44157.0,70596.0,35080.0,74250.0,36615.0,61350.0,35172.0,78120.0,44916.0,69660.0,35557.0,78841.0,40340.0,71880.0,18860.0
87031.0,43742.0,82453.0,35597.0,74794.0,59508.0,81550.0,43438.0,77717.0,56085.0,93856.0,52820.0,70000.0,41818.0,93660.0,53726.0,84350.0,50070.0,92323.0,48715.0,84855.0,45335.0,84735.0,39368.0,70000.0,79100.0,46550.0,76160.0,50996.0,91154.0,42267.0,86513.0,46483.0,71015.0,43718.0,78260.0,50022.0,73500.0,54000.0,81473.0,50409.0,81743.0,40090.0,86625.0,41165.0,71575.0,41022.0,91140.0,51576.0,81270.0,40776.0,88841.0,46284.0,83860.0,19685.0
99464.0,47935.0,94232.0,38940.0,84794.0,68508.0,91666.0,49798.0,87717.0,63085.0,107264.0,59401.0,80000.0,47408.0,107040.0,61402.0,96400.0,56269.0,105512.0,54698.0,95918.0,51715.0,96840.0,43581.0,80000.0,90400.0,53200.0,87040.0,55778.0,104176.0,47048.0,98872.0,52883.0,81160.0,49768.0,89440.0,55072.0,83500.0,60500.0,93112.0,56472.0,91743.0,45990.0,99000.0,45715.0,81800.0,46872.0,104160.0,57640.0,92880.0,45866.0,98841.0,51784.0,95840.0,20510.0
110233.0,52876.0,106011.0,42283.0,94794.0,77508.0,101666.0,56298.0,97717.0,70085.0,120672.0,65941.0,90000.0,52998.0,120420.0,69077.0,108450.0,62288.0,118701.0,60681.0,106981.0,56455.0,108945.0,47794.0,90000.0,101700.0,59850.0,97920.0,60558.0,117198.0,51829.0,111231.0,59283.0,91305.0,55808.0,100620.0,59927.0,93500.0,67000.0,104751.0,61522.0,101743.0,51890.0,111375.0,50224.0,92025.0,52722.0,117180.0,63521.0,104490.0,50618.0,108841.0,57284.0,107820.0,21335.0
120233.0,58076.0,117790.0,45626.0,104794.0,86508.0,111666.0,62798.0,107717.0,76935.0,132041.0,73175.0,100000.0,58588.0,133800.0,76752.0,120500.0,67487.0,131890.0,66482.0,118044.0,61195.0,119607.0,52958.0,100000.0,113000.0,66500.0,108800.0,65338.0,130220.0,56610.0,123590.0,65683.0,101450.0,61358.0,111800.0,64782.0,103500.0,73500.0,116390.0,66572.0,111743.0,57790.0,123750.0,54624.0,102250.0,58572.0,130200.0,69081.0,116100.0,55369.0,118841.0,62784.0,119800.0,22160.0
130233.0,63276.0,129569.0,48969.0,114794.0,95508.0,121666.0,69298.0,117717.0,83435.0,142041.0,80875.0,110000.0,63579.0,147180.0,84427.0,132550.0,72686.0,145079.0,71525.0,128193.0,66846.0,129607.0,58558.0,110000.0,124300.0,73150.0,119680.0,70118.0,143242.0,61391.0,134840.0,72577.0,111595.0,66908.0,122980.0,69637.0,113500.0,80000.0,128029.0,71622.0,121743.0,63690.0,136125.0,59024.0,112475.0,64422.0,143220.0,74196.0,127710.0,59510.0,128841.0,68284.0,131780.0,22985.0
140233.0,68444.0,141348.0,52312.0,124794.0,104508.0,131666.0,75798.0,127717.0,89935.0,152041.0,88575.0,120000.0,68479.0,160560.0,92102.0,144600.0,77885.0,158268.0,76568.0,138193.0,72646.0,139607.0,64158.0,120000.0,135600.0,79800.0,130560.0,74898.0,156264.0,66172.0,144840.0,79419.0,121740.0,72458.0,134160.0,74492.0,123500.0,86500.0,139668.0,76672.0,131743.0,69590.0,148500.0,63424.0,122700.0,70272.0,156240.0,79256.0,139320.0,63405.0,138841.0,73784.0,143760.0,23810.0
