freq,nabs07,unit,geo\TIME_PERIOD,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
A,NABS01,EUR_HAB,AL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN
A,NABS01,EUR_HAB,AT,4.3,4.7,3.7,4.0,3.8,4.3,5.4,5.3,5.2,5.1,5.1,6.0,5.6,5.5,5.5,5.9,5.3,5.4,5.7,6.3,6.9,NaN,NaN
A,NABS01,EUR_HAB,BE,1.0,1.1,1.0,1.1,2.1,1.2,1.2,1.2,1.1,1.4,2.4,2.6,3.1,4.0,4.4,4.3,7.3,4.6,4.9,5.4,5.3,NaN,NaN
A,NABS01,EUR_HAB,BG,NaN,NaN,NaN,0.4,1.4,0.2,1.0,0.9,1.0,0.6,1.0,1.5,1.4,1.5,1.4,1.1,0.9,1.0,2.7,3.6,4.1,NaN,NaN
A,NABS01,EUR_HAB,CH,0.6,NaN,0.5,NaN,0.5,NaN,0.5,NaN,0.6,NaN,0.7,1.2,NaN,1.4,1.3,1.4,1.7,2.2,2.6,2.7,2.3,NaN,NaN
A,NABS01,EUR_HAB,CY,1.0,1.1,1.0,0.9,0.7,0.9,1.0,0.6,0.3,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,NaN,NaN
A,NABS01,EUR_HAB,CZ,1.3,1.2,1.4,1.4,1.7,1.6,1.5,2.1,1.8,1.7,1.5,1.5,1.3,1.5,1.6,1.8,2.5,3.2,3.5,3.2,3.2,3.5,NaN
A,NABS01,EUR_HAB,DE,3.7,3.7,3.9,3.9,4.6,4.7,4.7,5.2,4.7,5.3,5.5,5.7,5.9,6.3,6.0,6.8,6.4,6.4,6.8,7.1,8.3,NaN,NaN
A,NABS01,EUR_HAB,DK,1.8,1.6,2.0,2.4,1.6,1.9,1.9,1.9,1.8,1.9,1.8,2.0,1.9,1.6,1.7,1.7,2.3,2.1,4.7,6.1,4.2,NaN,NaN
A,NABS01,EUR_HAB,EA20,2.9,2.9,2.6,2.7,3.2,3.2,3.8,3.6,3.6,3.9,3.9,4.1,4.6,NaN,NaN,NaN,5.0,5.3,5.8,5.9,6.0,NaN,NaN
