freq,unit,geo\TIME_PERIOD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,HAB_P,AT,128.89,129.86,130.56,131.88,133.25,135.51,137.15,139.13,140.36,140.41,141.05,140.16,140.06,139.83,137.76,138.38,138.27,138.4,137.52,136.94,136.66,136.68,136.0,136.63,136.7,137.8,139.1,141.82,144.62,148.86,151.42,NaN
A,HAB_P,AT11,173.63,169.61,168.35,172.1,173.53,179.25,180.02,182.26,180.35,177.95,188.22,185.6,186.31,179.69,177.3,180.24,182.37,182.26,190.91,171.0,168.54,169.42,170.7,167.01,161.85,165.59,170.3,174.07,181.97,188.79,185.37,NaN
A,HAB_P,AT12,150.14,151.35,150.52,152.19,153.31,156.21,157.35,160.25,160.95,163.39,164.03,161.82,160.5,158.54,152.81,150.72,150.28,147.32,149.05,147.89,147.59,145.37,145.42,146.81,149.51,148.69,148.95,148.73,151.07,154.68,154.48,NaN
A,HAB_P,AT13,130.47,129.28,129.03,131.44,131.22,134.33,136.21,137.01,139.43,137.23,138.32,140.5,142.52,143.97,141.66,143.27,141.16,141.25,138.25,139.24,136.38,133.11,127.91,128.59,128.93,132.5,132.99,137.47,142.58,148.16,151.39,NaN
A,HAB_P,AT21,101.05,103.25,105.94,109.13,108.06,108.84,108.6,110.44,110.42,110.16,109.0,110.33,109.09,107.03,106.1,107.81,110.31,111.9,112.82,113.57,115.09,116.62,116.89,119.53,123.45,122.13,124.39,130.87,129.17,130.98,133.22,NaN
A,HAB_P,AT22,105.33,107.04,108.59,105.93,109.66,111.51,114.05,116.82,118.84,119.88,120.52,117.46,118.4,118.24,114.44,114.44,114.66,116.1,117.29,117.88,118.65,121.84,122.43,123.26,122.08,122.81,124.8,127.49,128.11,132.5,137.12,NaN
A,HAB_P,AT31,128.52,130.96,133.43,134.77,137.95,139.99,141.06,142.24,142.76,144.58,145.37,144.54,141.06,141.81,142.24,143.46,144.05,143.17,143.57,145.22,146.76,149.18,149.78,150.09,146.26,146.03,147.78,148.24,152.52,156.73,160.81,NaN
A,HAB_P,AT32,112.32,112.08,108.89,110.62,111.89,113.75,113.61,117.48,117.16,117.83,116.86,115.17,115.86,116.55,116.59,115.99,116.55,115.86,113.57,109.06,109.34,109.81,111.49,110.4,112.21,113.52,115.04,120.18,125.37,124.42,126.51,NaN
A,HAB_P,AT33,150.28,152.59,154.3,158.78,158.22,158.52,161.99,162.72,163.32,160.68,160.58,156.64,157.46,156.74,157.82,159.12,157.82,162.55,153.9,151.15,149.27,149.12,150.82,150.52,149.42,149.68,150.3,151.41,152.6,161.89,163.53,NaN
A,HAB_P,AT34,159.44,160.02,163.0,166.72,165.32,168.43,174.85,175.79,181.45,176.97,179.55,179.8,181.37,181.2,182.04,188.66,188.3,190.48,178.09,176.74,177.53,177.29,177.85,179.06,179.47,186.61,188.89,191.25,187.3,190.31,192.54,NaN
A,HAB_P,BE,154.3,158.76,160.2,161.77,162.68,164.22,164.9,166.26,168.21,169.54,169.11,169.55,169.89,170.95,172.04,171.17,172.47,171.89,171.53,172.32,173.18,174.65,174.22,175.39,177.82,178.3,179.62,180.72,182.08,183.73,185.49,185.97
A,HAB_P,BE10,131.78,134.91,135.68,135.5,135.2,136.46,136.33,136.56,135.65,136.43,136.5,136.61,136.67,136.69,137.41,140.79,140.25,141.15,141.3,141.69,142.07,144.35,138.53,139.4,141.12,141.12,141.6,142.08,142.42,144.01,146.08,146.73
A,HAB_P,BE21,157.63,163.44,162.6,164.85,166.22,166.93,167.73,167.72,169.41,173.07,171.55,173.39,173.52,176.68,184.63,174.97,181.97,174.99,175.38,175.42,176.15,177.51,177.47,177.85,180.07,181.09,182.71,183.9,185.42,187.61,189.52,189.31
A,HAB_P,BE22,179.33,185.36,187.79,189.41,189.74,189.74,190.15,190.19,193.77,196.51,198.15,198.2,198.6,199.24,199.28,199.51,198.92,199.1,199.24,201.16,206.66,206.13,205.98,206.23,207.25,207.25,207.81,208.69,210.37,212.2,214.02,214.7
A,HAB_P,BE23,154.71,158.54,158.52,159.88,160.86,162.5,162.5,160.2,161.27,159.06,159.49,159.64,159.54,161.72,160.44,160.22,160.22,161.2,161.36,162.88,163.3,163.5,164.37,164.87,165.88,166.17,167.11,168.68,170.56,172.41,174.49,175.23
A,HAB_P,BE24,193.1,197.49,197.63,200.11,201.17,207.57,211.25,207.76,222.74,228.14,223.82,223.95,225.5,228.28,225.76,225.98,226.7,226.16,226.65,230.85,232.58,232.77,236.23,236.71,237.74,236.71,248.23,250.43,254.09,256.85,263.04,264.1
A,HAB_P,BE25,128.43,131.67,132.98,135.13,136.3,137.02,137.02,145.07,145.02,143.23,143.23,143.44,143.82,144.04,144.16,144.29,147.21,144.69,144.29,145.18,146.35,146.56,146.31,146.42,147.09,148.62,151.91,152.65,153.84,155.23,156.45,156.9
A,HAB_P,BE31,254.9,259.65,259.65,259.15,259.15,259.15,255.87,303.28,303.73,303.73,303.73,303.73,303.73,303.73,303.73,303.73,303.73,304.88,305.34,305.34,305.8,397.51,397.51,401.46,426.45,427.35,424.16,429.05,438.41,441.42,443.91,443.19
A,HAB_P,BE32,125.17,131.53,137.64,139.91,142.02,144.52,146.68,149.78,151.57,152.81,153.8,154.49,155.56,155.56,156.05,155.56,155.33,159.41,156.1,156.23,156.76,157.03,157.27,160.21,164.92,164.92,163.78,164.2,165.01,165.91,166.21,167.0
A,HAB_P,BE33,161.28,163.53,163.82,163.99,163.39,164.43,164.82,164.21,165.71,169.74,166.9,166.53,166.53,166.8,167.23,167.81,167.05,166.93,166.93,166.98,167.25,167.79,169.87,172.83,175.87,176.68,174.9,176.33,176.71,177.43,178.29,178.35
