AT,BE,CY,CZ,DE,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PT,SI,SK,category,"euro
area",subcategory
141.0,301.9,239.4,104.5,122.1,78.6,165.6,156.5,177.3,90.5,70.6,58.9,266.5,177.0,56.7,851.9,33.4,311.9,232.2,124.6,124.7,111.9,All,158.5,DA3001 Total assets
17.0,59.5,66.4,15.0,18.0,11.4,33.1,36.1,35.5,18.3,2.6,6.0,25.3,32.0,3.0,128.7,3.9,45.0,116.9,38.5,11.6,18.4,All,30.4,DL1000 Total outstanding balance of household's liabilities
28.9,50.1,46.3,24.1,41.4,47.1,56.9,59.2,46.2,20.6,30.4,29.6,68.1,27.7,23.7,53.9,34.2,33.1,59.0,46.6,28.9,38.9,All,42.9,DL1000i Has debt
127.8,242.4,200.4,97.3,106.7,66.2,127.7,104.0,125.7,84.6,64.9,55.6,193.7,159.0,53.7,717.7,31.3,273.6,105.6,99.6,118.8,97.0,All,123.5,DN3001 Net wealth
47.6,72.4,71.1,75.7,44.5,78.9,73.9,65.3,57.5,72.0,79.2,85.8,69.6,77.5,94.0,65.6,77.8,79.0,56.9,70.0,77.4,89.7,Owners,61.7,DH Households
363.0,389.5,315.4,136.2,419.5,101.1,221.5,253.1,327.3,123.4,92.0,69.0,376.8,231.0,61.4,1204.2,47.4,380.1,389.7,174.5,161.9,121.9,Owners,285.8,DA3001 Total assets
39.8,86.3,77.7,20.0,69.0,16.7,50.0,73.5,75.0,27.8,4.3,7.2,78.6,49.8,3.8,220.2,6.9,57.0,148.8,50.0,17.0,20.8,Owners,65.0,DL1000 Total outstanding balance of household's liabilities
35.6,57.5,53.5,24.8,47.1,50.4,59.2,62.9,56.9,24.0,28.1,30.8,71.2,30.6,24.1,59.6,33.8,39.1,82.4,55.6,30.5,39.6,Owners,48.8,DL1000i Has debt
333.7,334.6,273.6,128.5,362.5,84.4,177.8,195.6,273.4,115.3,87.3,64.5,303.5,208.0,58.2,1039.4,44.7,351.8,251.7,140.4,154.6,106.9,Owners,239.9,DN3001 Net wealth
52.4,27.6,28.9,24.3,55.5,21.1,26.1,34.8,42.5,28.0,20.8,14.2,30.4,22.5,6.0,34.4,22.2,21.0,43.1,30.0,22.6,10.3,Non-owners,38.3,DH Households
19.4,10.0,7.8,4.9,19.9,6.1,12.3,6.2,15.0,6.7,1.3,3.9,9.8,9.1,3.2,73.5,2.2,11.8,13.3,9.3,5.5,7.0,Non-owners,14.8,DA3001 Total assets
2.8,3.7,8.8,7.8,5.9,2.0,6.8,8.5,4.4,2.2,0.7,1.5,4.6,4.5,N,20.1,1.3,N,12.3,6.4,4.0,1.2,Non-owners,5.3,DL1000 Total outstanding balance of household's liabilities
22.7,30.6,28.7,22.0,36.9,34.6,50.4,52.4,31.7,11.8,38.9,22.6,60.9,17.8,17.5,43.0,35.8,10.4,28.2,25.6,23.5,32.4,Non-owners,33.5,DL1000i Has debt
17.8,8.3,6.6,4.5,16.2,4.7,7.9,2.7,12.7,6.5,0.6,3.5,5.5,8.2,3.2,61.4,1.2,10.0,10.0,7.5,4.5,5.5,Non-owners,12.0,DN3001 Net wealth
