freq,citizen,sex,age,unit,geo\TIME_PERIOD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,EU27_2020_FOR,F,Y15-64,PC_POP,AT,1.8,1.7,1.8,2.0,2.2,2.2,2.5,2.7,3.0,2.9,2.9,3.0,2.9,2.8,2.9,2.8,2.9
A,EU27_2020_FOR,F,Y15-64,PC_POP,BA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y15-64,PC_POP,BE,1.6,1.8,1.9,2.1,2.1,2.0,2.6,2.1,1.9,1.8,1.7,1.9,1.7,1.4,1.6,1.8,1.9
A,EU27_2020_FOR,F,Y15-64,PC_POP,BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y15-64,PC_POP,CH,3.4,3.7,2.8,3.1,4.1,4.5,4.7,5.0,5.0,5.0,4.7,4.7,4.5,4.6,4.6,4.9,5.2
A,EU27_2020_FOR,F,Y15-64,PC_POP,CY,2.9,3.5,5.2,5.5,5.7,4.1,2.6,2.3,2.5,2.2,2.6,2.6,2.7,2.3,2.0,2.0,1.6
A,EU27_2020_FOR,F,Y15-64,PC_POP,CZ,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2
A,EU27_2020_FOR,F,Y15-64,PC_POP,DE,0.7,0.7,0.6,0.6,0.8,0.9,1.2,1.4,1.8,1.8,1.8,1.7,1.3,1.6,1.6,1.5,1.3
A,EU27_2020_FOR,F,Y15-64,PC_POP,DK,0.3,0.5,0.6,0.7,0.9,1.1,1.0,1.1,1.0,0.9,0.9,0.9,0.9,0.6,0.5,0.6,1.1
A,EU27_2020_FOR,F,Y15-64,PC_POP,EA20,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.8,0.7,0.7,0.8,0.7,0.7
A,EU27_2020_FOR,F,Y15-64,PC_POP,EE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3,0.3,0.3,0.3,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y15-64,PC_POP,EL,0.5,0.6,0.6,0.5,0.4,0.4,0.3,0.2,0.1,0.1,0.2,0.1,0.1,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y15-64,PC_POP,ES,1.9,1.6,1.2,1.0,0.8,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.5
A,EU27_2020_FOR,F,Y15-64,PC_POP,EU27_2020,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6
A,EU27_2020_FOR,F,Y15-64,PC_POP,FI,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.4,0.2,0.2,0.1,0.2,0.4,0.5,0.6,0.4
