DATAFLOW,REF_AREA,MEASURE,UNIT_MEASURE,TRANSFORMATION,ADJUSTMENT,SEX,AGE,ACTIVITY,FREQ,TIME_PERIOD,OBS_VALUE,BASE_PER,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),FIN,EMP_WAP,PT_WAP_SUB,_Z,Y,_T,Y55T64,_Z,A,2017,61.725,,A,0,1
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),FIN,EMP_WAP,PT_WAP_SUB,_Z,Y,_T,Y55T64,_Z,A,2018,64.6,,A,0,1
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),FIN,EMP_WAP,PT_WAP_SUB,_Z,Y,_T,Y55T64,_Z,A,2019,65.875,,A,0,1
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),FIN,EMP_WAP,PT_WAP_SUB,_Z,Y,_T,Y55T64,_Z,A,2020,66.625,,A,0,1
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),FIN,EMP_WAP,PT_WAP_SUB,_Z,Y,_T,Y55T64,_Z,A,2021,68.35,,A,0,1
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),FIN,EMP_WAP,PT_WAP_SUB,_Z,Y,_T,Y55T64,_Z,A,2022,71.225,,A,0,1
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),FIN,EMP_WAP,PT_WAP_SUB,_Z,Y,_T,Y55T64,_Z,A,2023,71.725,,A,0,1
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),FIN,EMP_WAP,PT_WAP_SUB,_Z,Y,_T,Y55T64,_Z,A,2024,71.7,,A,0,1
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),FIN,EMP_WAP,PT_WAP_SUB,_Z,Y,_T,Y55T64,_Z,A,2012,57.4,,A,0,1
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),FIN,EMP_WAP,PT_WAP_SUB,_Z,Y,_T,Y55T64,_Z,A,2013,57.85,,A,0,1
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),FIN,EMP_WAP,PT_WAP_SUB,_Z,Y,_T,Y55T64,_Z,A,2014,58.475,,A,0,1
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),FIN,EMP_WAP,PT_WAP_SUB,_Z,Y,_T,Y55T64,_Z,A,2015,59.125,,A,0,1
