DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_HORIZ,METHODOLOGY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS,BASE_PER
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1954,2.401667,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1955,2.816667,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1956,3.1825,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1957,3.6475,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1958,3.315833,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1959,4.333333,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1960,4.116667,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1961,3.8825,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1962,3.945833,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1963,4.0025,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1964,4.186666,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1965,4.2825,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1966,4.923333,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1967,5.073333,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),USA,A,IRLT,PA,_Z,_Z,_Z,_Z,N,1968,5.645833,A,0,2,
