DATAFLOW,REF_AREA,MEASURE,UNIT_MEASURE,SEX,AGE,TIME_HORIZ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2010,34950,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2011,36047,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2012,36852,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2013,36955,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2014,36468,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2015,36310,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2016,36780,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2017,37933,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2018,39640,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2019,41523,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2020,42804,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2021,43458,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),EST,POP,PS,_T,Y80T84,H,2022,43100,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2010,4804015,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2011,4955235,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2012,5154937,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2013,5352983,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2014,5542326,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2015,5722237,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2016,5920968,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2017,6135012,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2018,6355552,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2019,6600010,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2020,6844404,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2021,7082151,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),CAN,POP,PS,_T,Y_GE65,H,2022,7330605,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2010,1354457,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2011,1370765,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2012,1388275,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2013,1406569,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2014,1428998,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2015,1451057.5,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2016,1466951,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2017,1477012,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2018,1487513.5,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2019,1498603.5,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2020,1504067,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2021,1493112.5,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),BGR,POP,PS,_T,Y_GE65,H,2022,1498780,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2010,31776,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2011,34092,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2012,36433,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2013,38813,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2014,40960,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2015,42832,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2016,44434,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2017,45618,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2018,46466,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2019,46868,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2020,47383,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2021,47845,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LVA,POP,PS,_T,Y_GE85,H,2022,48583,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2010,35548,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2011,36894,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2012,38226,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2013,39682,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2014,41347,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2015,42931,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2016,44391,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2017,45597,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2018,46393,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2019,46850,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2020,46978,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2021,47096,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),LUX,POP,PS,_T,Y50T54,H,2022,47244,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2010,1477602,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2011,1483895,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2012,1512261,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2013,1542049,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2014,1571996,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2015,1594437,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2016,1616431,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2017,1635834,A,0,0
OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),AUT,POP,PS,_T,Y_GE65,H,2018,1657884,A,0,0
