Country,Leader type,Salary (local),Salary ($US),GDP per capita ($US),Salary as % GDP per capita,Data confidence,Last checked,Source
:al: Albania,Prime minister,L 4740000,58000,21395,271%,Medium,2-Jun-2025,[Media report 2023](https://scantv.al/si-do-ndryshoje-piramida-e-pagave-presidenti-me-i-mirepaguari-reforma-vijon-edhe-ne-dy-vitet-e-ardhshem)
:ag: Antigua and Barbuda,Prime minister,EC$ 171000,63200,31802,199%,Medium,25-Oct-2024,[Media report 2024](https://caribbean.loopnews.com/content/antiguaparliamentarian-salary-increase-sparks-controversy)
:ar: Argentina,President,$ 48824859,33100,29363,113%,High,16-Oct-2024,[Media report 2024](https://buenosairesherald.com/politics/milei-gives-himself-salary-raise-backtracks-after-social-media-clashes)
:au: Australia,Prime minister,$ 622110,415000,69115,600%,High,21-Mar-2025,[Remuneration Tribunal Jul 2025](https://www.remtribunal.gov.au/offices/parliamentary-offices)
:at: Austria,Chancellor,€ 286080,339000,73751,460%,High,21-Mar-2025,[Media report Mar 2025](https://www.profil.at/faktiv/faktencheck-ist-das-die-teuerste-regierung-aller-zeiten/403019241)
:bs: Bahamas,Prime minister,B$ 86000,86000,35555,242%,High,25-Oct-2024,[Government legislation 2017](https://laws.bahamas.gov.bs/cms/images/LEGISLATION/PRINCIPAL/1992/1992-0027/1992-0027_2.pdf)
:bh: Bahrain,Prime minister,د.ب 73800,196000,63848,307%,Low,20-Oct-2024,[Media report 2023](https://alseyassah.com/%D8%B1%D8%A7%D8%AA%D8%A8-%D8%A7%D9%84%D9%88%D8%B2%D9%8A%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA-%D8%A7%D9%84%D8%A3%D9%82%D9%84-%D8%A8%D9%8A%D9%86-%D8%AF%D9%88%D9%84-%D8%A7%D9%84/)
:bd: Bangladesh,President,৳ 1440000,11800,9066,130%,High,14-Jul-2022,[Government legislation](http://bdlaws.minlaw.gov.bd/act-details-487.html)
:by: Belarus,President,Br 203590,60100,30752,195%,High,27-Dec-2024,[Income declaration 2023](https://web.archive.org/web/20241226233828/https://www.rec.gov.by/uploads/files/Calendar/info-dohod.pdf)
:be: Belgium,Prime minister,€ 270000,320000,70456,454%,Medium,21-Mar-2025,[Media report 2025](https://www.demorgen.be/politiek/dit-zijn-de-lonen-van-premier-de-wever-en-zijn-ministers~b805549c/)
:bm: Bermuda,Premier,BD$ 207285,207000,106866,194%,High,25-Oct-2024,[Bermuda Government 2024](https://parliament.bm/about/view/10)
:bt: Bhutan,Prime minister,Nu 2289600,26100,15022,174%,High,25-Oct-2024,[Bhutan Government 2023](https://www.mof.gov.bt/wp-content/uploads/2023/07/Pay-Structure-Reform-Pay-Revision-Notification-July-2023.pdf)
:bw: Botswana,Prime minister,P 1075056,77100,19383,398%,Medium,14-Oct-2024,[Media report 2023](https://www.mmegi.bw/news/more-benefits-as-masisis-monthly-earnings-exceed-p100-000/news)
:br: Brazil,President,R$ 402151,75800,20584,368%,High,14-Jul-2022,[Government data portal](https://www.portaldatransparencia.gov.br/servidores/82423708)
:bg: Bulgaria,Prime minister,лв 132000,80000,38690,207%,Medium,28-Oct-2024,[Media report 2024](https://fakti.bg/en/bulgaria/904137-the-president-s-salary-is-now-bgn-14000-and-the-prime-minister-s-bgn-11000)
:ca: Canada,Prime minister,$ 419600,305000,61582,495%,High,1-Aug-2025,[Canada Parliament Apr 2024](https://lop.parl.ca/sites/ParlInfo/default/en_CA/People/Salaries)
:ky: Cayman Islands,Premier,CI$ 234900,283000,85168,332%,High,25-Oct-2024,[Auditor General report 2023 (p16)](https://oag-cayman.imgix.net/assets/Public-Interest-Reports-Key-Management-Personnel-Remuneration-PIR-FINAL-REPORT-Nov-23.pdf?dl)
:cl: Chile,President,$ 91612620,96300,33285,289%,Medium,14-Jul-2022,[Media report 2022](https://chile.as.com/actualidad/cuanto-gana-el-presidente-gabriel-boric-asi-son-los-sueldos-de-las-autoridades-de-la-moneda-n/)
:cn: China,President,¥ 136620,19200,24558,78%,Low,14-Jul-2022,[Media report 2015](http://www.chinadaily.com.cn/china/2015-01/20/content_19353528.htm)
:co: Colombia,President,$ 434164097,112000,21548,520%,High,14-Jul-2022,"[Decree 472, Article 2](https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=184811)"
:hr: Croatia,Prime minister,€ 63768,75500,45910,164%,High,16-Oct-2024,[Media report 2024](https://n1info.hr/english/news/prime-minister-announces-significant-salary-increases-for-state-officials/)
:cy: Cyprus,President,€ 114039,135000,57101,236%,Medium,28-Oct-2024,[Media report 2024](https://talanews.blogspot.com/2024/02/salaries-of-government-officials.html)
:cz: Czechia,Prime minister,Kč 3298800,161000,53817,299%,Medium,28-Oct-2024,[Media report 2024](https://www.ceskenoviny.cz/zpravy/2585168)
:dk: Denmark,Prime minister,kr 1958176,311000,76688,406%,High,5-Jun-2025,[Denmark Government Apr 2025](https://www.regeringen.dk/om-regeringen/hvad-tjener-en-minister/)
:eg: Egypt,President,E£ 500000,10400,18817,55%,Low,20-Sep-2024,[Media report 2024](https://english.ahram.org.eg/NewsContentP/1/181228/Egypt/President-Sisi%E2%80%99s-annual-salary-is-among-lowest-of-.aspx)
:er: Eritrea,President,Nkf 90000,6000,1629,368%,Low,14-Jul-2022,[Media report 2018](https://web.archive.org/web/20190322015354/https://www.africanstand.com/news/politics/governance/african-leaders-with-the-lowest-salaries/)
:ee: Estonia,Prime minister,€ 108156,128100,48992,261%,High,1-Aug-2025,[Media report 2025](https://news.err.ee/1609638367/president-riigikogu-speakers-salaries-rise-to-over-9-700-per-month)
:et: Ethiopia,Prime minister,ብር 187200,1300,3109,42%,Low,14-Jul-2022,[Media report 2018](https://web.archive.org/web/20190322015400/https://www.africanexponent.com/post/9275-ethiopias-abiy-ahmed-is-changing-the-african-narrative)
:fj: Fiji,Prime minister,FJ$ 320000,143000,15047,950%,High,18-Sep-2024,[Act of Parliament (2024)](https://acrobat.adobe.com/id/urn:aaid:sc:ap:7828261c-bf68-448b-ba5c-eea5c4bad79e?viewer%21megaVerb=group-discover)
:fi: Finland,Prime minister,€ 173856,206000,65061,317%,High,16-Jul-2022,[Finland Government 2024](https://valtioneuvosto.fi/en/governments/ministerial-pay-and-allowances-and-ministers-private-interests)
:fr: France,President,€ 149485,177000,61157,289%,High,1-Jan-2025,[Media report 2024](https://www.liberation.fr/societe/transparence-libe-publie-le-bulletin-de-salaire-demmanuel-macron-20240516_75AI44X3SNEMZC27RJI5KYAKZQ/)
:ge: Georgia,Prime minister,ლ 40992,15100,24681,61%,Medium,31-Oct-2024,[Media report 2024](https://civil.ge/archives/586102)
:de: Germany,Chancellor,€ 365000,432000,69338,623%,Medium,21-Mar-2025,[Media report Feb 2025](https://www.mainpost.de/im-fokus/gehalt/gehalt-wie-viel-gehalt-verdient-bundeskanzler-olaf-scholz-22-2-25-art-11130752)
:gh: Ghana,President,¢ 567324,46300,7466,620%,Medium,14-Oct-2024,[Media report 2022](https://www.pulse.com.gh/news/politics/check-out-the-salaries-of-article-71-officeholders-from-2017-to-2020/bl933q8)
:gr: Greece,Prime minister,€ 85479,101300,41187,246%,Low,16-Jul-2022,[Media report 2015](http://www.enikos.gr/economy/307756/posa-lefta-pairnei-o-tsipras-kai-posa-oi-evropaioi-igetes)
:gl: Greenland,Prime minister (Denmark),kr 1958176,311000,68087,457%,High,5-Jun-2025,[Denmark Government Apr 2025](https://www.regeringen.dk/om-regeringen/hvad-tjener-en-minister/)
:hu: Hungary,Prime minister,Ft 75600000,230000,45942,501%,Medium,26-Nov-2024,[Media report Jul 2024](https://english.atlatszo.hu/2024/07/22/viktor-orban-has-the-highest-salary-in-the-european-union-in-ratio-to-the-average-gross-salary/)
:is: Iceland,Prime minister,kr 24261900,201000,77567,259%,High,22-Nov-2024,[Iceland legislation 2024](https://www.althingi.is/thingmenn/starfskjor-althingismanna/laun-og-starfskjor-thingmanna/laun-thingfararkaup)
:in: India,Prime minister,₹ 1992000,22700,10176,223%,Medium,15-Oct-2024,[Media report 2024](https://www.firstpost.com/explainers/prime-minister-narendra-modi-salary-world-leaders-pay-package-13780533.html)
:id: Indonesia,President,Rp 362880000,22000,15613,141%,Medium,27-Jul-2022,[Media report 2022](https://www.cnbcindonesia.com/market/20220507161540-17-337132/lihat-lagi-gaji-presiden-jokowi-yang-dibilang-kaesang-kecil)
:ie: Ireland,Taoiseach,€ 248773,295000,127623,231%,High,1-Aug-2025,[Ireland Parliament Mar 2025](https://www.oireachtas.ie/en/members/salaries-and-allowances/salaries/)
:il: Israel,Prime minister,₪ 710616,212000,53434,397%,High,17-Apr-2024,[Media report 2023](https://www.jpost.com/israel-news/politics-and-diplomacy/article-728886)
:it: Italy,Prime minister,€ 80000,94800,58755,161%,Medium,17-Jul-2022,[Media report 2021](https://www.ilriformista.it/la-giustizia-minorile-non-funziona-ragazzi-trattati-come-fogli-di-carta-nessuno-li-conosce-310525/)
:jm: Jamaica,Prime minister,J$ 9100000,56700,11475,494%,Medium,2-Nov-2024,[Media report 2023](https://www.ilriformista.it/la-giustizia-minorile-non-funziona-ragazzi-trattati-come-fogli-di-carta-nessuno-li-conosce-310525/)
:jp: Japan,Prime minister,¥ 40610000,277000,50207,552%,High,3-Oct-2024,[Media report 2023](https://www.japantimes.co.jp/news/2023/11/17/japan/politics/pm-ministers-pay-raise/)
:ke: Kenya,President,KSh 17503200,135000,6324,2135%,Medium,27-Jul-2022,[Media report 2022](https://africa.businessinsider.com/local/leaders/kenyas-uhuru-kenyatta-and-his-deputy-are-getting-their-salaries-slashed-by-116/qnv54tj)
:lv: Latvia,Prime minister,€ 62592,74200,42501,175%,Medium,17-Jul-2022,[Media report 2022](https://neatkariga.nra.lv/izpete/368721-kovidkrize-karina-vaditais-ministru-kabinets-sanem-dasnu-algu-pieaugumu)
:ls: Lesotho,Prime minister,M 763392,44000,2794,1575%,Medium,14-Oct-2024,[Act of Parliament 2023](https://archive.gazettes.africa/archive/ls/2023/ls-government-gazette-dated-2023-05-05-no-34.pdf)
:lr: Liberia,President,L$ 1560000,8800,1819,484%,Medium,9-Jul-2024,[Media report 2024](https://www.bbc.com/news/articles/c2509qp7vyyo#:~:text=Mr%20Boakai%20revealed%20in%20February%20that%20his%20annual%20salary%20was%20%2413%2C400.%20The%20cut%20will%20bring%20it%20down%20to%20%248%2C000.)
:lt: Lithuania,Prime minister,€ 72576,86000,51877,166%,High,4-Nov-2024,[Government Lithuania Oct 2024](https://lrv.lt/lt/vyriausybes-kanceliarija-1/administracine-informacija/darbo-uzmokestis/)
:lu: Luxembourg,Prime minister,€ 256800,304000,143342,212%,Medium,19-Oct-2024,[Media report 2023](https://www.lessentiel.lu/de/story/nachgeschaut-so-setzen-sich-die-gehaelter-der-luxemburger-minister-zusammen-697000061747)
:my: Malaysia,Prime minister,RM 273920,65400,37248,176%,High,18-Sep-2024,[Act of Parliament (amended 2005)](https://www.parlimen.gov.my/images/webuser/akta/Act%20237e.pdf)
:mv: Maldives,President,ރ 1440000,93400,24809,376%,Medium,5-Nov-2024,[Media report 2023](https://en.sun.mv/86587)
:mt: Malta,President,€ 59668,70700,62446,113%,Medium,5-Nov-2024,[Media report 2022](https://www.independent.com.mt/articles/2022-06-05/local-news/Malta-s-record-Parliament-costing-taxpayer-at-least-1-4m-a-year-6736243478)
:mh: Marshall Islands,President,US$ 75000,75000,7491,1001%,High,5-Nov-2024,[Act of Parliament (amended 2018)](https://rmiparliament.org/cms/images/LEGISLATION/PRINCIPAL/1975/1975-0002/1975-0002_2.pdf)
:mu: Mauritius,Prime minister,Rs 3384000,75100,29499,255%,High,5-Nov-2024,[Act of Parliament 2017](https://mauritiuslii.org/akn/mu/act/1973/21/eng@2017-06-30)
:mx: Mexico,President,$ 2233116,122000,25602,477%,Medium,17-Oct-2024,[Media report 2024](https://cnnespanol.cnn.com/2024/06/02/cuanto-cobra-presidente-mexico-ministros-orix)
:mn: Mongolia,Prime minister,₮ 12883560,3600,18108,20%,Low,1-Oct-2020,[Media report 2021 (2010 salary)](https://newspress.mn/v1/p/news/1938)
:mz: Mozambique,President,MT 342571,5400,1657,326%,Medium,22-Nov-2024,[CIP Mozambique 2023](https://www.cipmoz.org/wp-content/uploads/2023/06/Review-of-the-Single-Salary-Scale.pdf)
:na: Namibia,President,N$ 1753964,101100,12757,793%,High,21-Mar-2025,[Namibia Parliament 2017](https://www.lac.org.na/laws/2017/6259.pdf)
:nr: Nauru,President,$ 100032,66700,12671,526%,High,22-Nov-2024,[Nauru Parliament 2017](http://ronlaw.gov.nr/nauru_lpms/index.php/act/view/1527)
:nl: Netherlands,Prime minister,€ 205991,244000,78215,312%,High,1-Aug-2025,[Netherlands legislation 2024 (including 8% holiday pay and 8.3% end-of-year bonus)](https://wetten.overheid.nl/BWBR0006286/2024-07-01)
:nz: New Zealand,Prime minister,$ 510300,305000,54110,564%,High,1-Aug-2025,[Parliamentary Salaries and Allowances law (July 2025 to June 2026)](https://www.legislation.govt.nz/regulation/public/2024/0121/latest/LMS966051.html)
:ng: Nigeria,President,₦ 3514705,2400,6318,38%,Low,27-Jul-2022,[Nigeria government 2009](https://rmafc.gov.ng/publications/)
:no: Norway,Prime minister,kr 2057177,210000,104460,201%,High,1-Aug-2025,[Norway Parliament 2024](https://www.stortinget.no/en/In-English/Members-of-the-Storting/Financial-support/)
:pk: Pakistan,President,Rs 1287360,4500,6212,72%,High,16-Jul-2022,[Pakistan legislation](https://cabinet.gov.pk/SiteImage/Misc/files/prime-minister-salary-act.pdf)
:pg: Papua New Guinea,Prime minister,K 346037,82800,4607,1797%,Medium,22-Nov-2024,[PNG Parliament 2015](https://www.parliament.gov.pg/uploads/SALARIES-AND-REMUNERATION-COMMISSION-2017.pdf)
:py: Paraguay,President,₲ 538905600,75700,17466,433%,Medium,15-Oct-2024,[Media report 2024](https://www.abc.com.py/economia/2023/09/06/pgn-2024-presidente-vice-y-los-ministros-se-adjudican-aumento-salarial/)
:pe: Peru,President,S/ 426816,122500,16717,733%,High,4-Jul-2025,[Media report 2025](https://www.reuters.com/world/americas/its-joke-peruvians-outraged-after-president-doubles-her-salary-2025-07-03/)
:pl: Poland,Prime minister,zł 264000,73500,49464,149%,Medium,27-Jul-2022,[Media report 2020](https://notesfrompoland.com/2020/08/14/polish-mps-vote-to-give-themselves-60-pay-rise/)
:pt: Portugal,Prime minister,€ 70059,83000,48759,170%,High,22-Nov-2024,[Media report Nov 2024](https://www.publico.pt/2024/11/20/newsletter/ambiente-trabalho)
:ru: Russia,President,₽ 10202616,121600,44104,276%,Medium,4-Sep-2024,[Media report 2023](https://sib-fm.turbopages.org/sib.fm/s/news/2023/11/25/raskryty-dannye-o-dohodah-prezidenta-rossii-vladimira-putina)
:rw: Rwanda,President,R₣ 73233072,50600,3361,1505%,Medium,22-Nov-2024,[Media report 2024](https://en.igihe.com/news/article/a-glance-at-gross-salaries-for-new-cabinet-members)
:sa: Saudi Arabia,Monarch (salary n/a),,,54992,,,18-Sep-2024,[]()
:sg: Singapore,Prime minister,$ 2200000,1725000,141500,1219%,High,1-Aug-2025,[Singapore Parliament 2018](https://www.psd.gov.sg/faq)
:sk: Slovakia,Prime minister,€ 16460,19500,44650,44%,Medium,17-Sep-2025,[Media report 2024](https://spravy.stvr.sk/2024/03/prezident-ma-z-ustavnych-cinitelov-najvyssi-plat-takto-sa-vypocita/)
:si: Slovenia,Prime minister,€ 67824,80400,54948,146%,Medium,27-Jul-2022,[Media report 2019](https://reporter.si/clanek/slovenija/vlada-razkrila-tudi-neto-place-svojih-ministrov-premier-marjan-sarec-dobi-3336-evrov-na-mesec-682290)
:za: South Africa,President,R 3079540,177000,15847,1117%,High,27-Jul-2022,[SA Parliament 2020](https://www.gov.za/sites/default/files/gcis_document/202002/43019gon90.pdf)
:kr: South Korea,President,₩ 240600000,175000,54033,324%,Medium,27-Jul-2022,[Media report 2022](https://en.yna.co.kr/view/AEN20211228002651315)
:es: Spain,Prime minister,€ 85609,101400,52779,192%,Medium,17-Jul-2022,[Media report 2021](https://www.larazon.es/espana/20210120/vx3d7l7xljg3tk4ctk3uaej2fe.html)
:lk: Sri Lanka,Prime minister,Rs 1170000,3900,14455,27%,Medium,1-Oct-2020,[Media report](https://roar.media/english/life/reports/ministers-salaries-parliamentary-perks/)
:kn: St. Kitts and Nevis,Prime minister,EC$ 265200,98000,33403,293%,Medium,22-Nov-2024,[Media report 2024](https://www.winnmediaskn.com/resolution-to-increase-salaries-of-parliamentary-members-passed/)
:se: Sweden,Prime minister,kr 2448000,264000,70207,376%,High,1-Aug-2025,[Sweden Parliament 2025](https://www.riksdagen.se/sv/sa-funkar-riksdagen/ledamoternas-arvoden-och-villkor/ledamoternas-arvoden/)
:ch: Switzerland,President,CHF 489688,622000,92980,669%,High,1-Aug-2025,[Switzerland Government 2025](https://www.admin.ch/gov/en/start/federal-council/tasks/from-election-to-departure.html)
:tz: Tanzania,President,TSh 108000000,43800,3973,1103%,Low,14-Jul-2022,[Media report](https://web.archive.org/web/20190322015354/https://www.africanstand.com/news/politics/governance/african-leaders-with-the-lowest-salaries/)
:th: Thailand,Prime minister,฿ 1507080,47500,23423,203%,Medium,24-Nov-2024,[Media report Sep 2023](https://www.bangkokpost.com/thailand/politics/2654530/pm-to-give-salary-to-charities)
:tt: Trinidad and Tobago,Prime minister,TT$ 960000,142000,31572,450%,High,24-Nov-2024,"[Salary Review Commission May 2023 (report 117, p3)](https://www.ttparliament.org/113th-and-117th-reports-of-the-salaries-review-commission-src/)"
:tn: Tunisia,President,د.ت 51000,17700,13682,129%,Low,14-Jul-2022,[Media report](https://web.archive.org/web/20190322015403/https://www.careeraddict.com/7-lowest-paid-presidents-politicians-in-the-world)
:tr: Türkiye,President,₺ 2856000,69200,44151,157%,Medium,21-Jan-2025,[Media report 2025](https://www.turkiyetoday.com/business/trump-to-become-3rd-highest-paid-president-%E2%94%80-here-are-10-top-salaried-leaders-108426/)
:tc: Turks and Caicos Islands,Premier,US$ 195000,195000,24820,786%,Medium,25-Oct-2024,[Media report 2023](https://suntci.com/salary-increases-for-members-of-the-house-of-assembly-are-too-much-says-op-p10142-129.htm)
:ug: Uganda,President,Ush 43200000,12300,3098,397%,Medium,24-Nov-2024,[Media report Sep 2023](https://www.pulse.ug/articles/news/for-10-years-my-presidential-salary-was-shs-150000-museveni-2024073110584079813)
:ua: Ukraine,Prime minister,₴ 1153860,28000,18008,155%,Medium,24-Oct-2024,[Media report 2024](https://fact-news.com.ua/en/dear-government-how-the-wages-of-ukrainian-deputies-and-officials-changed-during-the-war/)
:ae: United Arab Emirates,Prime minister,د.إ 960000,261000,83903,311%,Medium,24-Nov-2024,[UAE legislation 2009](https://elaws.moj.gov.ae/UAE-MOJ_LC-En/00_CABINET/UAE-LC-En_1977-01-10_00012_Kait.html?val=EL1)
:gb: United Kingdom,Prime minister,£ 169344,231000,58906,392%,High,27-Jul-2025,"[PoliticalSalaries.com calculation (based on MP 2025 salary + £75,440 claimed additional ministerial salary)](https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1124173/2022-12-07-Ministerial-Salaries-22-23-table.pdf)"
:us: United States of America,President,$ 400000,400000,81695,490%,High,1-Aug-2025,[US Code (last amended 1999)](https://uscode.house.gov/view.xhtml?req=%28title:3%20section:102%20edition:prelim%29)
:uy: Uruguay,President,U$ 10376869,259000,34062,760%,Medium,24-Nov-2024,[Media report Apr 2022](https://www.lr21.com.uy/politica/1458751-lacalle-pou-el-presidente-mejor-pagado-de-america-latina-21000-dolares-mensuales)
:vu: Vanuatu,Prime Minister,VT 9010800,76000,3315,2293%,High,18-Sep-2024,[Vanuatu Government 2023](http://paclii.austlii.edu.au/vu/other/VUGovGaz/2015/48.pdf)
