Country,Legislature type,Salary (local),Salary ($US),GDP per capita ($US),Salary as % GDP per capita,Data confidence,Last checked,Source
:us: United States of America,Congress,$ 174000,174000,81695,213%,High,1-Aug-2025,[US Senate](https://www.senate.gov/senators/SenateSalariesSince1789.htm)
:il: Israel,Knesset,₪ 570996,170620,53434,319%,Medium,17-Apr-2024,[Media report 2023](https://www.jpost.com/israel-news/politics-and-diplomacy/article-728886)
:de: Germany,Bundestag,€ 141998,168230,69338,243%,High,2-Jul-2025,[Germany Parliament Jul 2025](https://www.bundestag.de/abgeordnete/mdb_diaeten/mdb_diaeten-214848)
:nl: Netherlands,House of Representatives,€ 141429,167550,78215,214%,High,24-Nov-2024,[Netherlands legislation 2024 (including 8% holiday pay and 8.3% end-of-year bonus)](https://wetten.overheid.nl/BWBR0004939/2024-07-01)
:ae: United Arab Emirates,Federal National Council,د.إ 600000,163380,83903,195%,Medium,24-Nov-2024,[Media report 2015](https://www.thenationalnews.com/uae/rumours-of-huge-fnc-salaries-dismissed-by-member-1.86163)
:au: Australia,Parliament,$ 239270,159540,69115,231%,High,1-Jul-2025,[Remuneration Tribunal Jul 2025](https://www.remtribunal.gov.au/offices/parliamentary-offices)
:ky: Cayman Islands,Parliament,CI$ 130512,157040,85168,184%,High,25-Oct-2024,[Auditor General report 2023 (p16)](https://oag-cayman.imgix.net/assets/Public-Interest-Reports-Key-Management-Personnel-Remuneration-PIR-FINAL-REPORT-Nov-23.pdf?dl)
:ca: Canada,House of Commons,$ 209800,152450,61582,248%,High,1-Aug-2025,[Canada Parliament Apr 2025](https://lop.parl.ca/sites/ParlInfo/default/en_CA/People/Salaries)
:is: Iceland,Althing,kr 19335456,160410,77567,207%,High,17-Sep-2025,[Iceland Parliament Jul 2025](https://www.althingi.is/altext/cv/is/laun_og_greidslur/)
:sg: Singapore,Parliament,$ 192500,150890,141500,107%,High,22-Nov-2024,[Singapore Government](https://www.psd.gov.sg/faq)
:it: Italy,Camera,€ 125220,148350,58755,252%,High,22-Nov-2024,[Italy Government 2024](https://www.camera.it/leg19/383?conoscerelacamera=4)
:at: Austria,National Council,€ 124217,147160,73751,200%,High,2-Jul-2025,[Austria Parliament Jan 2024](https://www.parlament.gv.at/verstehen/nationalrat/abgeordnete/bezuege)
:gl: Greenland,Folketing (Denmark),kr 898092,142520,68087,209%,High,5-Jun-2025,[Denmark Parliament May 2025](https://www.thedanishparliament.dk/en/members/remuneration-and-pensions)
