DATAFLOW,REF_AREA,MEASURE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL(1.1),CIV,B1GQ_V,USD,A,2013,43228,A,6,0,
OECD.CTP.TPS:DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL(1.1),CIV,B1GQ_V,USD,A,2014,48882,A,6,0,
OECD.CTP.TPS:DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL(1.1),CIV,B1GQ_V,USD,A,2015,45815,A,6,0,
OECD.CTP.TPS:DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL(1.1),CIV,B1GQ_V,USD,A,2016,48408,A,6,0,
OECD.CTP.TPS:DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL(1.1),CIV,B1GQ_V,USD,A,2017,52512,A,6,0,
OECD.CTP.TPS:DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL(1.1),CIV,B1GQ_V,USD,A,2018,58522,A,6,0,
OECD.CTP.TPS:DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL(1.1),CIV,B1GQ_V,USD,A,2019,60383,A,6,0,
OECD.CTP.TPS:DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL(1.1),CIV,B1GQ_V,USD,A,2020,63119,A,6,0,
OECD.CTP.TPS:DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL(1.1),CIV,B1GQ_V,USD,A,2021,72833,A,6,0,
OECD.CTP.TPS:DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL(1.1),CIV,B1GQ_V,USD,A,2022,72046,A,6,0,
OECD.CTP.TPS:DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL(1.1),UGA,B1GQ_V,USD,A,2013,31635,A,6,0,
OECD.CTP.TPS:DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL(1.1),UGA,B1GQ_V,USD,A,2014,33542.5,A,6,0,
