DATAFLOW,LOCATION,VARIABLE,SCENARIO,FREQUENCY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,UNIT_MULT,BASE_PER
OECD:DF_EO114_LTB(1.0),AUS,GDP,S0,A,2054,12222400000000,A,,,
OECD:DF_EO114_LTB(1.0),AUS,GDP,S1,A,2054,11574760000000,A,,,
OECD:DF_EO114_LTB(1.0),AUT,GDP,S0,A,2054,1383292000000,A,,,
OECD:DF_EO114_LTB(1.0),AUT,GDP,S1,A,2054,1360281000000,A,,,
OECD:DF_EO114_LTB(1.0),BEL,GDP,S0,A,2054,1651359000000,A,,,
OECD:DF_EO114_LTB(1.0),BEL,GDP,S1,A,2054,1607678000000,A,,,
OECD:DF_EO114_LTB(1.0),CAN,GDP,S0,A,2054,9540680000000,A,,,
OECD:DF_EO114_LTB(1.0),CAN,GDP,S1,A,2054,9088203000000,A,,,
OECD:DF_EO114_LTB(1.0),CZE,GDP,S0,A,2054,22506700000000,A,,,
OECD:DF_EO114_LTB(1.0),CZE,GDP,S1,A,2054,21858270000000,A,,,
OECD:DF_EO114_LTB(1.0),DNK,GDP,S0,A,2054,7617693000000,A,,,
OECD:DF_EO114_LTB(1.0),DNK,GDP,S1,A,2054,7372613000000,A,,,
OECD:DF_EO114_LTB(1.0),FIN,GDP,S0,A,2054,764618000000,A,,,
OECD:DF_EO114_LTB(1.0),FIN,GDP,S1,A,2054,756188300000,A,,,
OECD:DF_EO114_LTB(1.0),FRA,GDP,S0,A,2054,7460015000000,A,,,
OECD:DF_EO114_LTB(1.0),FRA,GDP,S1,A,2054,7336579000000,A,,,
OECD:DF_EO114_LTB(1.0),DEU,GDP,S0,A,2054,10786710000000,A,,,
OECD:DF_EO114_LTB(1.0),DEU,GDP,S1,A,2054,10477710000000,A,,,
OECD:DF_EO114_LTB(1.0),GRC,GDP,S0,A,2054,646392300000,A,,,
OECD:DF_EO114_LTB(1.0),GRC,GDP,S1,A,2054,609738000000,A,,,
OECD:DF_EO114_LTB(1.0),HUN,GDP,S0,A,2054,339689100000000,A,,,
OECD:DF_EO114_LTB(1.0),HUN,GDP,S1,A,2054,319771600000000,A,,,
OECD:DF_EO114_LTB(1.0),ISL,GDP,S0,A,2054,19766310000000,A,,,
OECD:DF_EO114_LTB(1.0),ISL,GDP,S1,A,2054,19428760000000,A,,,
OECD:DF_EO114_LTB(1.0),IRL,GDP,S0,A,2054,1574089000000,A,,,
OECD:DF_EO114_LTB(1.0),IRL,GDP,S1,A,2054,1526276000000,A,,,
OECD:DF_EO114_LTB(1.0),ITA,GDP,S0,A,2054,5449934000000,A,,,
OECD:DF_EO114_LTB(1.0),ITA,GDP,S1,A,2054,5345008000000,A,,,
OECD:DF_EO114_LTB(1.0),JPN,GDP,S0,A,2054,1525493000000000,A,,,
OECD:DF_EO114_LTB(1.0),JPN,GDP,S1,A,2054,1464376000000000,A,,,
OECD:DF_EO114_LTB(1.0),KOR,GDP,S0,A,2054,6130179000000000,A,,,
OECD:DF_EO114_LTB(1.0),KOR,GDP,S1,A,2054,6065655000000000,A,,,
OECD:DF_EO114_LTB(1.0),LUX,GDP,S0,A,2054,275631200000,A,,,
OECD:DF_EO114_LTB(1.0),LUX,GDP,S1,A,2054,256115000000,A,,,
OECD:DF_EO114_LTB(1.0),MEX,GDP,S0,A,2054,185200800000000,A,,,
OECD:DF_EO114_LTB(1.0),MEX,GDP,S1,A,2054,171989300000000,A,,,
OECD:DF_EO114_LTB(1.0),NLD,GDP,S0,A,2054,2945048000000,A,,,
OECD:DF_EO114_LTB(1.0),NLD,GDP,S1,A,2054,2809335000000,A,,,
OECD:DF_EO114_LTB(1.0),NZL,GDP,S0,A,2054,1520931000000,A,,,
OECD:DF_EO114_LTB(1.0),NZL,GDP,S1,A,2054,1506439000000,A,,,
OECD:DF_EO114_LTB(1.0),NOR,GDP,S0,A,2054,15465240000000,A,,,
OECD:DF_EO114_LTB(1.0),NOR,GDP,S1,A,2054,12632720000000,A,,,
OECD:DF_EO114_LTB(1.0),POL,GDP,S0,A,2054,12107780000000,A,,,
OECD:DF_EO114_LTB(1.0),POL,GDP,S1,A,2054,11565620000000,A,,,
OECD:DF_EO114_LTB(1.0),PRT,GDP,S0,A,2054,765812100000,A,,,
OECD:DF_EO114_LTB(1.0),PRT,GDP,S1,A,2054,749436400000,A,,,
OECD:DF_EO114_LTB(1.0),SVK,GDP,S0,A,2054,340796500000,A,,,
OECD:DF_EO114_LTB(1.0),SVK,GDP,S1,A,2054,333530500000,A,,,
OECD:DF_EO114_LTB(1.0),ESP,GDP,S0,A,2054,3898611000000,A,,,
OECD:DF_EO114_LTB(1.0),ESP,GDP,S1,A,2054,3812166000000,A,,,
OECD:DF_EO114_LTB(1.0),SWE,GDP,S0,A,2054,22118650000000,A,,,
