freq,unit,deg_urb,geo\TIME_PERIOD,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,PC,DEG1,AL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7,7.6,6.8,4.5,3.7,NaN,NaN,NaN
A,PC,DEG1,AT,NaN,11.4,6.7,7.5,8.6,9.9,9.2,11.3,10.0,12.2,12.2,12.2,12.1,12.5,11.3,11.6,12.2,10.7,9.9,12.6,11.3,12.0
A,PC,DEG1,BE,NaN,14.6,10.8,12.4,12.2,13.9,10.3,10.9,13.5,17.0,15.4,15.6,14.3,16.2,15.2,14.6,13.1,11.8,12.4,12.1,11.0,11.1
A,PC,DEG1,BG,NaN,NaN,NaN,15.1,22.9,15.1,6.8,5.3,8.6,11.8,12.6,11.8,13.9,18.8,17.7,16.1,15.6,13.0,10.9,12.7,8.5,6.6
A,PC,DEG1,CH,NaN,NaN,NaN,NaN,NaN,NaN,15.4,15.8,15.5,14.8,14.1,14.1,15.3,15.8,18.3,15.6,18.9,16.4,19.4,16.5,19.9,NaN
A,PC,DEG1,CY,NaN,NaN,7.4,3.5,1.8,2.1,2.6,4.4,3.9,4.9,4.2,5.2,4.7,3.8,3.5,3.1,2.5,2.4,3.5,3.5,3.4,2.6
A,PC,DEG1,CZ,NaN,NaN,11.4,11.4,10.8,13.0,10.7,11.8,12.9,14.7,16.4,14.8,15.6,14.8,13.4,12.9,11.0,10.2,10.1,10.6,13.2,14.1
A,PC,DEG1,DE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2,18.0,19.8,18.9,19.3,19.1,19.6,17.9,17.6,16.2,11.4,12.4,13.1,14.2,13.1
A,PC,DEG1,DK,NaN,NaN,17.4,23.5,18.5,26.0,30.1,27.6,25.3,22.1,24.3,22.0,22.1,22.9,22.4,21.2,21.1,20.3,21.9,22.5,23.3,22.7
A,PC,DEG1,EA,NaN,NaN,NaN,NaN,NaN,10.3,9.7,11.5,12.7,13.2,13.2,13.4,13.6,13.6,12.6,11.9,12.4,10.3,11.0,NaN,NaN,NaN
A,PC,DEG1,EA18,NaN,NaN,11.0,11.3,10.0,10.2,9.7,11.5,12.7,13.2,13.1,13.4,13.6,13.6,12.7,12.0,12.5,10.4,NaN,NaN,NaN,NaN
A,PC,DEG1,EA19,NaN,NaN,11.0,11.3,9.9,10.1,9.6,11.5,12.7,13.2,13.1,13.3,13.6,13.6,12.6,11.9,12.4,10.3,11.0,NaN,NaN,NaN
A,PC,DEG1,EA20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3,13.5,13.5,12.5,11.9,12.3,10.2,11.2,10.9,10.8,10.1
