DATAFLOW,REF_AREA,MEASURE,UNIT_MEASURE,TRANSFORMATION,ADJUSTMENT,SEX,AGE,ACTIVITY,FREQ,TIME_PERIOD,OBS_VALUE,BASE_PER,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),ISR,WAP,PS,_Z,Y,_T,Y_GE15,_Z,A,2016,6119.908,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),NOR,EMP,PS,_Z,Y,_T,Y_GE15,_Z,A,2015,2641,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),GRC,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2021,677.675,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),GRC,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2022,588.2,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),GRC,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2023,521.775,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),COL,EMP,PS,_Z,Y,_T,Y_GE15,_Z,A,2016,21505.15,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),IRL,LF,PS,_Z,Y,_T,Y_GE15,_Z,A,2020,2430.75,,B,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),GRC,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2013,1330.35,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),GRC,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2014,1274.425,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),GRC,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2015,1196.95,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),GRC,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2016,1130.95,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),COL,LF,PS,_Z,Y,_T,Y_GE15,_Z,A,2017,24062.05,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),COL,LF,PS,_Z,Y,_T,Y_GE15,_Z,A,2018,24418.52,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),COL,LF,PS,_Z,Y,_T,Y_GE15,_Z,A,2019,24808.69,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),COL,LF,PS,_Z,Y,_T,Y_GE15,_Z,A,2020,23731.35,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),COL,LF,PS,_Z,Y,_T,Y_GE15,_Z,A,2021,23654.64,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),COL,LF,PS,_Z,Y,_T,Y_GE15,_Z,A,2022,24813.52,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),GRC,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2018,915.025,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),GRC,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2019,818.875,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),COL,LF,PS,_Z,Y,_T,Y_GE15,_Z,A,2014,22912.99,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),COL,LF,PS,_Z,Y,_T,Y_GE15,_Z,A,2015,23404.71,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),LUX,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2014,15.275,,B,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),LUX,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2020,21.225,,B,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),LUX,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2018,16.55,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),LUX,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2019,17.125,,A,3,0
OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),LUX,UNE,PS,_Z,Y,_T,Y_GE15,_Z,A,2021,17,,A,3,0
