DATAFLOW,REF_AREA,MEASURE,UNIT_MEASURE,INST_TYPE_EDU,EDUCATION_LEV,AGE,SEX,PERS_TYPE,PERS_QUAL_LEV,PERS_EXP_LEV,PRICE_BASE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,STATISTICAL_OPERATION,BASE_PER,CURRENCY,TRANSFORMATION,DECIMALS
OECD.EDU.IMEP:DSD_EAG_SAL_TREND@DF_TCH_STA(2.0),HUN,SAL_STA,XDC,INST_EDU_PUB,ISCED11_02,_T,_T,TE,TYP_EXP,EXP15,V,2019,3178980,A,,OBS,,HUF,_Z,0
OECD.EDU.IMEP:DSD_EAG_SAL_TREND@DF_TCH_STA(2.0),UKM,SAL_STA,XDC,INST_EDU_PUB,ISCED11_34,_T,_T,TE,TYP_EXP,EXP15,V,2022,42336,A,,OBS,,GBP,_Z,0
OECD.EDU.IMEP:DSD_EAG_SAL_TREND@DF_TCH_STA(2.0),ARG,SAL_STA,XDC,INST_EDU_PUB,ISCED11_02,_T,_T,TE,TYP_EXP,EXP15,V,2019,,L,,OBS,,ARS,_Z,0
OECD.EDU.IMEP:DSD_EAG_SAL_TREND@DF_TCH_STA(2.0),ARG,SAL_STA,XDC,INST_EDU_PUB,ISCED11_02,_T,_T,TE,TYP_EXP,EXP15,V,2020,,L,,OBS,,ARS,_Z,0
OECD.EDU.IMEP:DSD_EAG_SAL_TREND@DF_TCH_STA(2.0),SWE,SAL_STA,XDC,INST_EDU_PUB,ISCED11_24,_T,_T,TE,TYP_EXP,EXP15,V,2019,466200,A,,OBS,,SEK,_Z,0
OECD.EDU.IMEP:DSD_EAG_SAL_TREND@DF_TCH_STA(2.0),ARG,SAL_STA,XDC,INST_EDU_PUB,ISCED11_34,_T,_T,TE,TYP_EXP,EXP15,V,2022,,L,,OBS,,ARS,_Z,0
OECD.EDU.IMEP:DSD_EAG_SAL_TREND@DF_TCH_STA(2.0),ARG,SAL_STA,XDC,INST_EDU_PUB,ISCED11_34,_T,_T,TE,TYP_EXP,EXP15,V,2023,,L,,OBS,,ARS,_Z,0
OECD.EDU.IMEP:DSD_EAG_SAL_TREND@DF_TCH_STA(2.0),ARG,SAL_STA,XDC,INST_EDU_PUB,ISCED11_34,_T,_T,TE,TYP_EXP,EXP15,V,2019,,L,,OBS,,ARS,_Z,0
OECD.EDU.IMEP:DSD_EAG_SAL_TREND@DF_TCH_STA(2.0),ARG,SAL_STA,XDC,INST_EDU_PUB,ISCED11_34,_T,_T,TE,TYP_EXP,EXP15,V,2020,,L,,OBS,,ARS,_Z,0
OECD.EDU.IMEP:DSD_EAG_SAL_TREND@DF_TCH_STA(2.0),ARG,SAL_STA,XDC,INST_EDU_PUB,ISCED11_1,_T,_T,TE,TYP_EXP,EXP15,V,2020,,L,,OBS,,ARS,_Z,0
