CN,ISO,Rate
94013000,MT,5.0
94017900,MT,5.0
94029000,MT,5.0
39249000,MT,5.0
40149000,MT,5.0
40169500,MT,5.0
401699,MT,5.0
63064000,MT,5.0
66020000,MT,5.0
660390,MT,5.0
73251000,MT,5.0
732599,MT,5.0
732619,MT,5.0
732690,MT,5.0
79070000,MT,5.0
87142000,MT,5.0
940421,MT,5.0
940429,MT,5.0
940490,MT,5.0
9701,MT,5.0
97020000,MT,5.0
97030000,MT,5.0
97040000,MT,5.0
97050000,MT,5.0
01,MT,0.0
02,MT,0.0
03,MT,0.0
04,MT,0.0
05040000,MT,0.0
05059000,MT,0.0
05069000,MT,0.0
05080000,MT,0.0
05100000,MT,0.0
05111000,MT,0.0
05119110,MT,0.0
05119190,MT,0.0
05119985,MT,0.0
06012010,MT,0.0
06021010,MT,0.0
06022010,MT,0.0
06022080,MT,0.0
06029010,MT,0.0
06029020,MT,0.0
06029030,MT,0.0
07,MT,0.0
08,MT,0.0
09,MT,0.0
10,MT,0.0
11,MT,0.0
97060000,MT,5.0
12,MT,0.0
13,MT,0.0
1501,MT,0.0
1502,MT,0.0
15030090,MT,0.0
1504,MT,0.0
15060000,MT,0.0
15071090,MT,0.0
15079090,MT,0.0
15081090,MT,0.0
15089090,MT,0.0
1509,MT,0.0
151000,MT,0.0
1511,MT,0.0
1512,MT,0.0
1513,MT,0.0
15151990,MT,0.0
15152190,MT,0.0
15152990,MT,0.0
15155019,MT,0.0
15155099,MT,0.0
151590,MT,0.0
1516,MT,0.0
1517,MT,0.0
152190,MT,0.0
15220099,MT,0.0
17049030,MT,0.0
17049051,MT,0.0
17049099,MT,0.0
20,MT,0.0
21,MT,0.0
220299,MT,0.0
220900,MT,0.0
23,MT,0.0
25010091,MT,0.0
33019021,MT,0.0
33021029,MT,0.0
33021040,MT,0.0
33021090,MT,0.0
3001,MT,0.0
3002,MT,0.0
3003,MT,0.0
3004,MT,0.0
33019030,MT,0.0
35071000,MT,0.0
38249964,MT,0.0
