DATAFLOW,REF_AREA,MEASURE,UNIT_MEASURE,HOUSEHOLD_TYPE,INCOME_PRINCIPAL,INCOME_SPOUSE,FREQ,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIT_MULT,OBS_STATUS,CIVIL_STATUS
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),CHL,NIAT,XDC,S_C0,AW167,_Z,A,2015,13003725.734336,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),CHL,NIAT,XDC,S_C0,AW167,_Z,A,2016,13752500.969052,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),CHL,NIAT,XDC,S_C0,AW167,_Z,A,2017,14316075.629247,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),CHL,NIAT,XDC,S_C0,AW167,_Z,A,2018,14806216.344044,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),CHL,NIAT,XDC,S_C0,AW167,_Z,A,2019,15373708.024929,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),CHL,NIAT,XDC,S_C0,AW167,_Z,A,2020,15742005.719132,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),CHL,NIAT,XDC,S_C0,AW167,_Z,A,2021,16528786.382649,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),CHL,NIAT,XDC,S_C0,AW167,_Z,A,2022,18158707.56425,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),CHL,NIAT,XDC,S_C0,AW167,_Z,A,2023,20145790.155625,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),CHL,NIAT,XDC,S_C0,AW167,_Z,A,2024,21522408.834,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),USA,NIAT,USD_PPP,S_C0,AW167,_Z,A,2015,58626.33347,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),USA,NIAT,USD_PPP,S_C0,AW167,_Z,A,2016,59656.77705,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),USA,NIAT,USD_PPP,S_C0,AW167,_Z,A,2017,61152.255934,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),USA,NIAT,USD_PPP,S_C0,AW167,_Z,A,2018,65457.17482,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),USA,NIAT,USD_PPP,S_C0,AW167,_Z,A,2019,67212.94683,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),USA,NIAT,USD_PPP,S_C0,AW167,_Z,A,2020,71018.82713,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),USA,NIAT,USD_PPP,S_C0,AW167,_Z,A,2021,73275.551667,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),USA,NIAT,USD_PPP,S_C0,AW167,_Z,A,2022,76314.85408,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),USA,NIAT,USD_PPP,S_C0,AW167,_Z,A,2023,80171.033337,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),USA,NIAT,USD_PPP,S_C0,AW167,_Z,A,2024,83487.142628,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),SVK,NIAT,XDC,C_C2,AW100,AW100,A,2015,17931.8174,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),SVK,NIAT,XDC,C_C2,AW100,AW100,A,2016,18386.998499,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),SVK,NIAT,XDC,C_C2,AW100,AW100,A,2017,19000.3882,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),SVK,NIAT,XDC,C_C2,AW100,AW100,A,2018,20014.982714,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),SVK,NIAT,XDC,C_C2,AW100,AW100,A,2019,21066.279137,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),SVK,NIAT,XDC,C_C2,AW100,AW100,A,2020,21645.758356,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),SVK,NIAT,XDC,C_C2,AW100,AW100,A,2021,23329.282578,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),SVK,NIAT,XDC,C_C2,AW100,AW100,A,2022,25875.698391,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),SVK,NIAT,XDC,C_C2,AW100,AW100,A,2023,30855.119778,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),SVK,NIAT,XDC,C_C2,AW100,AW100,A,2024,32939.718612,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),GRC,GLCBT,USD_PPP,C_C2,AW100,AW100,A,2015,92030.831804,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),GRC,GLCBT,USD_PPP,C_C2,AW100,AW100,A,2016,93292.423287,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),GRC,GLCBT,USD_PPP,C_C2,AW100,AW100,A,2017,95016.608123,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),GRC,GLCBT,USD_PPP,C_C2,AW100,AW100,A,2018,97046.273959,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),GRC,GLCBT,USD_PPP,C_C2,AW100,AW100,A,2019,103128.09832,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),GRC,GLCBT,USD_PPP,C_C2,AW100,AW100,A,2020,96664.303325,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),GRC,GLCBT,USD_PPP,C_C2,AW100,AW100,A,2021,103964.516009,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),GRC,GLCBT,USD_PPP,C_C2,AW100,AW100,A,2022,117318.843635,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),GRC,GLCBT,USD_PPP,C_C2,AW100,AW100,A,2023,125384.420545,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),GRC,GLCBT,USD_PPP,C_C2,AW100,AW100,A,2024,130129.357197,2,0,A,M
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),DNK,GLCBT,USD_PPP,S_C0,AW67,_Z,A,2015,37015.578141,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),DNK,GLCBT,USD_PPP,S_C0,AW67,_Z,A,2016,38478.463598,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),DNK,GLCBT,USD_PPP,S_C0,AW67,_Z,A,2017,40175.065912,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),DNK,GLCBT,USD_PPP,S_C0,AW67,_Z,A,2018,41699.249293,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),DNK,GLCBT,USD_PPP,S_C0,AW67,_Z,A,2019,44298.512533,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),DNK,GLCBT,USD_PPP,S_C0,AW67,_Z,A,2020,46753.863739,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),DNK,GLCBT,USD_PPP,S_C0,AW67,_Z,A,2021,49021.014247,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),DNK,GLCBT,USD_PPP,S_C0,AW67,_Z,A,2022,51630.430613,2,0,A,_Z
OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),DNK,GLCBT,USD_PPP,S_C0,AW67,_Z,A,2023,54212.212062,2,0,A,_Z
