DATAFLOW,REF_AREA,MEASURE,UNIT_MEASURE,AGE,SEX,EDUCATION_LEV,DOMAIN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS,BASE_PER
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),IRL,10_2,PT_POP_Y_GE15,_T,_T,_T,HSL_10,2023,77.7234001638793,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),NZL,11_1,0_TO_10,OLD,_T,_T,HSL_11,2021,7.8,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),NOR,11_1_DEP,PT_POP_Y_GE16_SUB,YOUNG,_T,_T,HSL_11,2023,4.60638649943792,D,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),NOR,11_3,PT_POP_Y_GE15,_T,_T,_T,HSL_11,2023,25.9832277123354,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),CRI,11_3,PT_POP_Y_GE15_SUB,OLD,_T,_T,HSL_11,2023,41.3085568041256,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),GRC,1_3,USD_HH_PPP,_T,_T,_T,HSL_1,2021,157481,A,0,2,2022
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),FIN,2_2,PT_WG_SAL_M_MEDIAN,_T,_T,_T,HSL_2,2022,17.516859387,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),NZL,2_3,PT_LF_SUB,OLD,_T,_T,HSL_2,2023,0.523584,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),USA,2_3,PT_LF_SUB,OLD,_T,_T,HSL_2,2023,0.424382054992764,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),DNK,2_4,PT_POP_Y15T24,_T,_T,_T,HSL_2,2023,8.7521954,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),EST,2_5,PT_EARN_PRVS_LST_SUB,MID,_T,_T,HSL_2,2016,4.87245559692383,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),CZE,2_7,PT_SAL_SUB,MID,_T,_T,HSL_2,2023,3.59,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),GBR,2_7,PT_SAL_SUB,MID,_T,_T,HSL_2,2023,10.4,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),ISL,2_8_DEP,PT_SAL_FT,_T,_T,_T,HSL_2,2018,7.5986394558,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),CRI,3_1,PT_HH,_T,_T,_T,HSL_3,2022,8.03955420851707,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),CHE,4_4,0_TO_10,YOUNG,_T,_T,HSL_4,2022,6.92632837639835,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),GRC,4_4_DEP,PT_POP_Y_GE16_SUB,MID,_T,_T,HSL_4,2022,31.8388163834054,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),ESP,5_2,PT_POP_Y_GE16,_T,_T,_T,HSL_5,2023,70.1,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),IRL,5_2_DEP,PT_POP_Y_GE16,_T,_T,_T,HSL_5,2023,4.8,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),BEL,5_4,PT_POP_Y_GE15,_T,_T,_T,HSL_5,2019,9,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),IRL,6_3_DEP,PT_ST,_T,_T,_T,HSL_6,2022,7.50889785152378,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),TUR,6_4,PO,OLD,_T,_T,HSL_6,2014,202.35324,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),CHL,6_4_VER,FCTR_D1_SCR,_T,_T,_T,HSL_6,2014,2.20399379730225,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),JPN,6_4_VER,FCTR_D1_SCR,_T,_T,_T,HSL_6,2012,1.47498548030853,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),DNK,6_5,PO,MID,_T,_T,HSL_6,2012,281.53563,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),GRC,7_2,H_WK,YOUNG,_T,_T,HSL_7,2012,6.92382602729326,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),LUX,7_2,H_WK,OLD,_T,_T,HSL_7,2012,3.70271523287223,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),TUR,7_2,H_WK,OLD,_T,_T,HSL_7,2014,9.65925,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),AUT,7_3_DEP,PT_POP_Y_GE16,_T,_T,_T,HSL_7,2022,2.49618181327864,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),AUT,7_4,PT_POP_Y_GE16,_T,_T,_T,HSL_7,2022,4.25477289091797,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),LUX,8_1,PT_POP_Y16T65_SUB,MID,_T,_T,HSL_8,2023,27.645156,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),ITA,9_3,PT_POP,_T,_T,_T,HSL_9,2023,4.10132680016339,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),DNK,10_2_DEP,PT_POP_Y_GE15_SUB,MID,_T,_T,HSL_10,2023,9.72116505119009,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),ITA,10_2_DEP,PT_POP_Y_GE15_SUB,MID,_T,_T,HSL_10,2023,26.7903722342641,A,0,2,
OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),AUS,11_1,0_TO_10,OLD,_T,_T,HSL_11,2020,7.4,A,0,2,
